TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap
l9,2050383,2028847,691.8,0.99,2400.0
l10,2013620,2025332,1281.26,0.99,3100.0
l15,2021181,2021641,53.76,0.99,400.0
l88209,2010002,2010001,67.41,0.94,185.33
l88210,2010011,2010001,66.14,0.94,167.88
l88211,2010014,2010002,67.65,0.94,207.43
l88212,2010004,2010003,15.25,0.94,170.67
l88213,2010003,2010010,21.81,0.94,201.54
l88214,2010937,2010003,22.72,0.94,211.8
l88215,2010004,2010005,0.0,0.94,0.0
l88216,2010004,2010937,30.63,0.94,195.1
l88217,2010006,2010007,0.0,0.94,0.0
l88218,2010008,2010007,21.08,0.94,212.34
l88219,2010007,2013019,14.49,0.94,218.55
l88220,2010007,2013028,83.82,0.94,231.63
l88221,2010008,2010009,0.0,0.94,0.0
l88222,2010016,2010008,33.15,0.94,229.92
l88223,2013019,2010008,32.59,0.94,184.78
l88224,2010014,2010010,12.28,0.94,197.37
l88225,2010011,2010020,32.04,0.94,214.06
l88226,2010013,2010012,0.0,0.99,473.63
l88227,2010012,2010023,44.8,0.98,1105.1
l88228,2010012,2010987,25.85,0.98,1237.08
l88229,2010014,2010013,3.13,0.94,236.46
l88230,2010013,2010076,67.92,0.94,239.71
l88231,2010014,2010015,0.0,0.94,0.0
l88232,2010016,2010017,0.0,0.94,0.0
l88233,2010016,2013463,62.99,0.94,245.26
l88234,2010018,2010032,11.45,0.94,250.62
l88235,2010018,2010988,18.14,0.94,263.59
l88236,2010020,2010019,0.0,0.99,445.05
l88237,2010730,2010019,69.94,0.98,1150.4
l88238,2010020,2010029,18.67,0.94,233.76
l88239,2010021,2013074,40.51,0.94,251.36
l88240,2010021,2013512,7.05,0.94,201.56
l88241,2013690,2010021,12.38,0.94,247.31
l88242,2010022,2010024,4.39,0.94,204.48
l88243,2010022,2010030,14.19,0.94,210.69
l88244,2010024,2010023,0.0,0.99,465.77
l88245,2010730,2010023,25.55,0.98,1205.73
l88246,2010987,2010023,36.74,0.98,1271.34
l88247,2010024,2010039,3.89,0.94,261.21
l88248,2010025,2010858,14.42,0.94,188.02
l88249,2010025,2010929,21.24,0.94,219.05
l88250,2010051,2010026,10.82,0.94,220.77
l88251,2010027,2010028,0.0,0.94,0.0
l88252,2010027,2010029,11.01,0.94,209.69
l88253,2010054,2010027,21.45,0.94,199.0
l88254,2010030,2010031,0.0,0.94,0.0
l88255,2010030,2010988,27.06,0.94,237.68
l88256,2010032,2010040,20.29,0.94,226.1
l88257,2010036,2010033,2.71,0.94,216.72
l88258,2010033,2010045,28.21,0.94,216.4
l88259,2010033,2011071,2.29,0.94,237.01
l88260,2010033,2013147,36.18,0.94,246.79
l88261,2010034,2010035,0.0,0.94,0.0
l88262,2010034,2010036,0.0,0.94,0.0
l88263,2011071,2010036,0.91,0.94,254.33
l88264,2010037,2010041,27.32,0.94,230.13
l88265,2010037,2010053,46.86,0.94,255.03
l88266,2010929,2010037,5.65,0.94,255.57
l88267,2010038,2010039,0.0,0.94,0.0
l88268,2010040,2010039,8.05,0.94,243.11
l88269,2010040,2010061,13.0,0.94,245.08
l88270,2010045,2010041,11.06,0.94,236.56
l88271,2010041,2010757,25.41,0.94,270.97
l88272,2010112,2010042,16.68,0.94,241.87
l88273,2010042,2010858,0.92,0.94,265.85
l88274,2010043,2010044,0.0,0.94,0.0
l88275,2010065,2010043,9.2,0.94,234.78
l88276,2010043,2010731,19.92,0.94,254.45
l88277,2010046,2010047,0.0,0.94,0.0
l88278,2010049,2010046,2.2,0.94,199.81
l88279,2010046,2010053,8.8,0.94,230.09
l88280,2010046,2010060,5.15,0.94,209.43
l88281,2010048,2010049,0.0,0.94,0.0
l88282,2010048,2010050,0.0,0.94,0.0
l88283,2010049,2010858,26.15,0.94,236.41
l88284,2010051,2010052,0.0,0.94,0.0
l88285,2010051,2010106,19.15,0.94,232.86
l88286,2010054,2010087,17.21,0.94,227.67
l88287,2010055,2010056,0.0,0.94,0.0
l88288,2010071,2010056,7.62,0.94,213.54
l88289,2010056,2010111,32.3,0.94,227.01
l88290,2010058,2010057,0.0,0.99,466.21
l88291,2010057,2010059,0.0,0.98,0.0
l88292,2010060,2010058,5.45,0.94,201.84
l88293,2010058,2010072,3.54,0.94,235.48
l88294,2010058,2010099,13.83,0.94,230.02
l88295,2010059,2010462,64.69,0.98,1228.28
l88296,2010857,2010059,27.98,0.98,1358.91
l88297,2010061,2010133,7.52,0.94,211.25
l88298,2010062,2010063,0.0,0.94,0.0
l88299,2010062,2010064,0.0,0.94,0.0
l88300,2010065,2010063,5.19,0.94,196.02
l88301,2010063,2010149,11.3,0.94,206.38
l88302,2010065,2010068,0.0,0.99,108.6
l88303,2010066,2010068,0.0,0.99,54.3
l88304,2010067,2010068,0.0,0.99,54.3
l88305,2010069,2010074,9.27,0.94,203.82
l88306,2010781,2010069,6.36,0.94,244.58
l88307,2010070,2010090,9.87,0.94,221.92
l88308,2010095,2010070,7.96,0.94,229.14
l88309,2010112,2010071,9.92,0.94,236.16
l88310,2010071,2010153,26.24,0.94,232.27
l88311,2010072,2010073,0.0,0.94,0.0
l88312,2010072,2010155,8.42,0.94,205.7
l88313,2010074,2010075,0.0,0.94,0.0
l88314,2013154,2010074,17.66,0.94,181.22
l88315,2010076,2010133,8.13,0.94,218.87
l88316,2010077,2010092,3.89,0.94,205.12
l88317,2010077,2010097,34.44,0.94,216.78
l88318,2010077,2010137,13.54,0.94,236.35
l88319,2010077,2013292,7.0,0.94,229.46
l88320,2010078,2010081,0.0,0.99,616.8
l88321,2010078,2010838,52.02,0.98,1170.64
l88322,2010079,2010081,0.0,0.99,466.8
l88323,2010079,2010124,5.17,0.94,219.64
l88324,2010140,2010079,13.43,0.94,246.83
l88325,2010080,2010081,0.0,0.99,150.0
l88326,2010082,2010083,0.0,0.94,0.0
l88327,2010113,2010082,4.47,0.94,182.93
l88328,2010082,2010121,4.85,0.94,198.55
l88329,2010084,2010085,0.0,0.94,0.0
l88330,2010084,2010086,0.0,0.94,0.0
l88331,2010086,2010136,7.48,0.94,216.7
l88332,2010086,2010216,30.7,0.94,176.23
l88333,2010087,2010121,16.65,0.94,206.89
l88334,2010203,2010087,14.84,0.94,214.83
l88335,2010088,2010089,0.0,0.94,0.0
l88336,2010088,2010128,2.29,0.94,258.98
l88337,2010088,2010149,3.87,0.94,223.8
l88338,2010088,2010227,22.1,0.94,212.33
l88339,2010090,2010138,5.23,0.94,189.9
l88340,2010090,2010149,11.12,0.94,172.91
l88341,2010137,2010091,2.9,0.94,248.05
l88342,2010091,2010176,13.19,0.94,214.01
l88343,2010091,2010954,16.84,0.94,249.45
l88344,2010092,2010148,6.66,0.94,229.01
l88345,2010092,2010173,18.45,0.94,235.88
l88346,2010093,2013144,32.31,0.94,218.69
l88347,2010093,2013147,19.46,0.94,258.14
l88348,2010093,2013182,5.41,0.94,234.34
l88349,2010093,2013204,10.13,0.94,217.58
l88350,2013292,2010093,4.77,0.94,233.12
l88351,2010094,2010095,0.0,0.94,0.0
l88352,2010094,2010096,0.0,0.94,0.0
l88353,2010133,2010095,7.67,0.94,168.25
l88354,2010095,2011010,43.55,0.94,241.84
l88355,2010097,2010954,8.84,0.94,240.32
l88356,2010098,2010099,0.0,0.94,0.0
l88357,2010155,2010099,6.68,0.94,214.82
l88358,2010100,2010101,0.0,0.94,0.0
l88359,2010100,2010102,0.0,0.94,0.0
l88360,2013260,2010101,4.07,0.94,194.26
l88361,2013301,2010101,2.11,0.94,212.88
l88362,2013314,2010101,1.21,0.94,194.85
l88363,2010103,2010104,0.0,0.94,0.0
l88364,2010103,2010105,0.0,0.94,0.0
l88365,2010131,2010105,0.7,0.94,209.77
l88366,2010148,2010105,2.86,0.94,143.75
l88367,2013285,2010105,5.69,0.94,211.98
l88368,2010106,2010215,17.26,0.94,212.58
l88369,2010107,2010108,0.0,0.94,0.0
l88370,2010107,2010109,0.0,0.94,0.0
l88371,2010108,2010186,10.03,0.94,249.27
l88372,2010203,2010108,13.27,0.94,235.31
l88373,2010110,2010111,0.0,0.94,0.0
l88374,2010111,2010213,29.27,0.94,236.86
l88375,2010113,2010114,0.0,0.94,0.0
l88376,2010113,2010128,22.8,0.94,216.3
l88377,2010128,2010115,5.02,0.94,234.53
l88378,2010140,2010115,3.01,0.94,212.47
l88379,2010118,2010116,8.24,0.94,188.83
l88380,2010116,2010397,34.99,0.94,221.58
l88381,2010116,2010795,22.04,0.94,245.76
l88382,2010117,2010120,0.0,0.99,577.6
l88383,2010275,2010117,45.16,0.98,1345.52
l88384,2010799,2010117,25.79,0.98,1180.81
l88385,2010893,2010117,25.14,0.98,1332.36
l88386,2010118,2010120,0.0,0.99,452.6
l88387,2010118,2010186,6.38,0.94,266.6
l88388,2010118,2010244,18.79,0.94,246.49
l88389,2010118,2010300,16.61,0.94,238.95
l88390,2010119,2010120,0.0,0.99,125.0
l88391,2010121,2010122,0.0,0.94,0.0
l88392,2010121,2010124,5.32,0.94,179.57
l88393,2010121,2010325,26.79,0.94,208.42
l88394,2010123,2010124,0.0,0.94,0.0
l88395,2010123,2010125,0.0,0.94,0.0
l88396,2010123,2010126,0.0,0.94,0.0
l88397,2010128,2010127,0.0,0.99,562.17
l88398,2010127,2010730,43.9,0.98,1116.83
l88399,2010838,2010127,32.09,0.98,1195.62
l88400,2010128,2010138,8.67,0.94,239.6
l88401,2010129,2013285,1.31,0.94,221.18
l88402,2010129,2013310,4.63,0.94,239.02
l88403,2013314,2010129,3.12,0.94,231.06
l88404,2010130,2010147,3.85,0.94,223.05
l88405,2013312,2010130,2.37,0.94,182.98
l88406,2010131,2010132,0.0,0.94,0.0
l88407,2010178,2010131,4.96,0.94,203.57
l88408,2010131,2013300,3.45,0.94,225.61
l88409,2010133,2010134,0.0,0.94,0.0
l88410,2010135,2010136,0.0,0.94,0.0
l88411,2010136,2010210,18.61,0.94,202.01
l88412,2010136,2011028,7.42,0.94,264.49
l88413,2010138,2010199,12.63,0.94,220.87
l88414,2010139,2010154,0.76,0.94,278.91
l88415,2010139,2010154,0.76,0.94,278.91
l88416,2010197,2010139,2.86,0.94,280.99
l88417,2010197,2010139,2.86,0.94,280.99
l88418,2010140,2010141,0.0,0.94,0.0
l88419,2010140,2010143,4.74,0.94,232.49
l88420,2010142,2010143,0.0,0.94,0.0
l88421,2010142,2010144,0.0,0.94,0.0
l88422,2010160,2010143,9.64,0.94,198.54
l88423,2010145,2010190,3.5,0.94,242.1
l88424,2010145,2010193,2.92,0.94,214.7
l88425,2010146,2010147,0.0,0.94,0.0
l88426,2010193,2010147,3.08,0.94,246.47
l88427,2010149,2010152,0.0,0.99,203.1
l88428,2010150,2010152,0.0,0.99,101.6
l88429,2010151,2010152,0.0,0.99,101.6
l88430,2010153,2010164,2.82,0.94,204.81
l88431,2010154,2010184,7.28,0.94,274.37
l88432,2010155,2010156,0.0,0.94,0.0
l88433,2010155,2010164,3.77,0.94,205.94
l88434,2010157,2010158,0.0,0.94,0.0
l88435,2010158,2010159,6.02,0.94,155.28
l88436,2010158,2010184,4.54,0.94,249.59
l88437,2010220,2010158,3.45,0.94,232.9
l88438,2010208,2010159,3.65,0.94,198.66
l88439,2010160,2010272,7.1,0.94,218.11
l88440,2010161,2010162,0.0,0.94,0.0
l88441,2010161,2010163,0.0,0.94,0.0
l88442,2010235,2010163,4.11,0.94,209.35
l88443,2010164,2010169,7.67,0.94,200.65
l88444,2010165,2010166,0.0,0.94,0.0
l88445,2010199,2010165,5.32,0.94,198.41
l88446,2010165,2010250,9.6,0.94,212.61
